container_id,shipment_id,fruit_type,origin,destination,temperature,humidity,vibration,battery_level,door_status,container_status,latitude,longitude,timestamp
C026,S00303,Grapes,Ahmedabad,Kolkata,3.75,89.77,3.6,77,Closed,In Transit,23.043353,72.620371,2026-07-09 22:23:55
C007,S00370,Grapes,Delhi,Pune,5.2,73.92,1.76,80,Closed,In Transit,28.571831,77.238304,2026-07-04 16:38:55
C059,S00774,Mango,Mumbai,Hyderabad,2.33,85.02,1.32,100,Closed,In Transit,19.11428,72.860359,2026-07-09 12:59:55
C020,S00219,Grapes,Hyderabad,Kolkata,4.72,70.44,2.52,90,Open,Delivered,17.339452,78.500144,2026-07-05 21:42:55
C090,S00407,Apple,Pune,Delhi,5.8,83.94,1.57,100,Closed,Unloading,18.526444,73.87392,2026-07-09 21:05:55
C052,S00027,Grapes,Kolkata,Hyderabad,7.54,92.02,0.91,90,Closed,In Transit,22.574108,88.342928,2026-07-05 06:26:55
C069,S00850,Pomegranate,Hyderabad,Pune,3.23,84.03,2.16,79,Closed,Delivered,17.357951,78.477417,2026-07-05 07:01:55
C073,S00973,Banana,Bangalore,Mumbai,6.64,71.41,0.35,82,Closed,In Transit,13.014476,77.586228,2026-07-04 18:54:55
C002,S00892,Apple,Bangalore,Hyderabad,3.35,72.9,4.94,71,Closed,In Transit,12.936651,77.582693,2026-07-05 22:12:55
C022,S00514,Papaya,Ahmedabad,Kolkata,6.24,73.89,2.45,80,Closed,In Transit,22.974615,72.572252,2026-07-10 20:34:55
C015,S00404,Banana,Mumbai,Delhi,4.6,72.98,3.08,85,Closed,Loading,19.039939,72.870128,2026-07-05 21:44:55
C014,S00789,Papaya,Kolkata,Delhi,2.69,87.0,0.07,98,Closed,In Transit,22.607621,88.362389,2026-07-06 03:52:55
C094,S00388,Apple,Mumbai,Pune,7.79,74.93,3.35,77,Closed,Loading,19.080516,72.899348,2026-07-05 07:46:55
C077,S00197,Papaya,Pune,Mumbai,5.09,78.22,4.85,89,Closed,Unloading,18.547168,73.893706,2026-07-11 05:29:55
C015,S00213,Pineapple,Bangalore,Ahmedabad,7.27,72.71,0.46,78,Closed,Delivered,12.952274,77.634246,2026-07-10 04:34:55
C028,S00701,Kiwi,Hyderabad,Kolkata,4.37,88.09,0.36,83,Closed,In Transit,17.371364,78.443097,2026-07-11 06:18:55
C029,S00608,Papaya,Pune,Hyderabad,6.67,84.61,0.86,94,Closed,Unloading,18.494359,73.881161,2026-07-11 08:06:55
C034,S00493,Orange,Delhi,Ahmedabad,5.44,71.72,1.4,91,Closed,Unloading,28.656221,77.218278,2026-07-06 05:24:55
C081,S00554,Kiwi,Bangalore,Pune,2.12,83.73,1.79,78,Closed,Delivered,12.987693,77.640126,2026-07-11 08:18:55
C010,S00543,Papaya,Chennai,Mumbai,2.21,82.19,2.75,76,Closed,In Transit,13.080833,80.315858,2026-07-08 19:56:55
C092,S00702,Strawberry,Chennai,Mumbai,6.31,81.71,1.31,81,Closed,In Transit,13.082092,80.288574,2026-07-08 16:35:55
C071,S00020,Orange,Chennai,Delhi,4.09,92.66,2.31,91,Closed,In Transit,13.089262,80.22278,2026-07-08 02:48:55
C028,S00836,Orange,Bangalore,Hyderabad,5.67,71.0,1.79,90,Closed,In Transit,12.952769,77.633774,2026-07-06 05:40:55
